,time,temperature,humidity
338,1658857492.3424013,36.5,59.2
339,1658857492.6167963,36.5,59.2
340,1658857492.8866477,36.5,59.1
341,1658857493.1613765,36.5,59.1
342,1658857493.436219,36.5,59.1
343,1658857493.7105992,36.5,59.1
344,1658857493.9844434,36.4,59.1
345,1658857494.25518,36.5,59.1
346,1658857494.529558,36.5,59.1
347,1658857494.8034027,36.5,59.1
348,1658857495.0777912,36.5,59.1
349,1658857495.3486388,36.5,59.0
350,1658857495.623165,36.5,59.0
351,1658857495.897008,36.5,59.0
352,1658857496.1717534,36.5,59.0
353,1658857496.4425988,36.5,59.0
354,1658857496.7169943,36.5,59.0
355,1658857496.990862,36.5,58.9
356,1658857497.265266,36.5,58.9
357,1658857497.535657,36.5,58.9
358,1658857497.809948,36.5,58.9
359,1658857498.084359,36.5,58.8
360,1658857498.3592057,36.5,58.8
361,1658857498.6296017,36.5,58.8
362,1658857498.903446,36.5,58.7
363,1658857499.1779728,36.5,58.7
364,1658857499.452819,36.5,58.7
365,1658857499.7232227,36.5,58.7
366,1658857499.9970725,36.5,58.7
367,1658857500.2714758,36.5,58.7
368,1658857500.5458894,36.5,58.6
369,1658857500.8167434,36.5,58.7
370,1658857501.091155,36.5,58.6
371,1658857501.3656428,36.5,58.6
372,1658857501.6392272,36.5,58.6
373,1658857501.910077,36.5,58.6
374,1658857502.1844788,36.5,58.6
375,1658857502.4583259,36.5,58.6
376,1658857502.7327356,36.5,58.5
377,1658857503.0037603,36.5,58.5
378,1658857503.2781656,36.5,58.5
379,1658857503.5525553,36.5,58.5
380,1658857503.8263984,36.4,58.4
381,1658857504.0967872,36.5,58.4
382,1658857504.3716364,36.5,58.4
383,1658857504.64609,36.5,58.3
384,1658857504.9159386,36.5,58.3
385,1658857505.1903262,36.5,58.3
386,1658857505.4647222,36.5,58.3
387,1658857505.7395613,36.4,58.2
388,1658857506.0098994,36.5,58.2
389,1658857506.2842867,36.5,58.2
390,1658857506.558678,36.4,58.2
391,1658857506.833529,36.4,58.2
